DESCRIÇÃO,QTDE ,VLR TOT
CONJUNTO DOCEIRAS DOURADO 14 PEÇAS (FOTO ANEXO),1,220
CONJUNTO DOCEIRAS OURO ROSÊ  12 PEÇAS,1,220
"MESA PINOS CAVALETE  1,30x75",3,210
CONJUNTO DOCEIRAS 18 PÇS( FOTO EM ANEXO)   PROMO 50% DESC.,1,200
CONJUNTO DOCEIRAS DOURADA COM PÉROLAS + PEDRAS  13 PÇS,1,200
CONJUNTO DOCEIRAS PÉROLA E ROSA ANTIGO,1,200
CONJUNTO DOCEIRAS( foto em anexo),1,200
CONJUNTO DOCEIRAS12 PEÇAS,1,200
CONJUNTO DOCEIRAS VERDES  ESCURO  ( FOTO EM ANEXO),1,195
CONJUNTO DOCEIRAS 18 PÇS  ( FOTO EM ANEXO)  50% DESC,1,190
CONJUNTO DOCEIRAS OURO ROSÊ ( foto em anexo),1,190
CONJUNTO DOCEIRAS VERDE MALVA E OURO ROSÊ  (FOTO EM ANEXO) 50%DESC,1,190
CONJUNTO DOCEIRAS FERRO + MADEIRA (PASSARINHOS),1,182
CONJUNTO DOCEIRAS (FOTO EM ANEXO),1,180
CONJUNTO DOCEIRAS 16 PÇS   NUDE  ( EM ANEXO),1,180
CONJUNTO DOCEIRAS COM A FOTO EM ANEXO,1,180
CONJUNTO DOCEIRAS DOURADAS 12 PÇS,1,180
CONJUNTO DOCEIRAS DOURADO 10 PEÇAS,1,180
CONJUNTO DOCEIRAS VERDES ( FOTO EM ANEXO),1,180
QUADRO NEGRO   PEQUENO  C / ARTE 1,3,180
CONJUNTO DOCEIRAS DOURADAS E PEROLAS 12 PEÇAS  ( PROMO 50%),1,175
CONJUNTO DOCEIRAS DOURADOS   21 PEÇAS  ( PROMO 50 % DESC),1,175
CONJUNTO DOCEIRAS DOURADO ESCOVADO   13 PÇAS,1,170
DIVÃ  DOURADO MATELASSÊ,1,160
CONJUNTO 3 SEAT GARDEN CANTO E BAIXO,1,150
CONJUNTO CILINDROS 3 PEÇAS,1,150
CONJUNTO CILINDROS VAZADOS MADEIRA,1,150
CONJUNTO DOCEIRAS (passarinhos),1,150
CONJUNTO DOCEIRAS 14 PEÇAS  DOURADO + PEDRAS,1,150
CONJUNTO DOCEIRAS 15 PEÇAS   (FOTO EM ANEXO),1,150
CONJUNTO DOCEIRAS 6 PÇS ( FOTO EM ANEXO),1,150
CONJUNTO DOCEIRAS 7 PÇS (FOTO EM ANEXO),1,150
CONJUNTO DOCEIRAS CANDY  COLORS  10 PEÇAS,1,150
CONJUNTO DOCEIRAS DOURADA + PEDRAS  11 PÇS,1,150
CONJUNTO DOCEIRAS DOURADO +PEDRA 9 PEÇAS,1,150
CONJUNTO DOCEIRAS DOURADO 8 PEÇAS ( DEFINIR ITENS),1,150
CONJUNTO DOCEIRAS DOURADO CRISTAL  8 PÇAS ( DEFINIR PEÇAS),1,150
CONJUNTO DOCEIRAS DOURADO OURO ROSE 6 PEÇAS ( FOTO EM ANEXO),1,150
CONJUNTO DOCEIRAS FERRO 10  PEÇAS   (FOTO EM ANEXO),1,150
CONJUNTO DOCEIRAS PÉROLA + PEDRAS,1,150
CONJUNTO DOCEIRAS PÉROLA 12 PÇS,1,150
CONJUNTO DOCEIRAS PRETO 5 PEÇAS,1,150
CONJUNTO DOCEIRAS VERDES  13 PEÇAS,1,150
MESA COM RODAS FERRO,1,150
MESA MADEIRA COM RODA FERRO,1,150
CONJUNTO PASSARINHOS  (FOTO EM ANEXO),1,140
"GAVETEIRO MADEIRA 1,10x70",2,140
CONJUNTO ROSÊ GOLD 7 PEÇAS,1,135
ÂNFORA  GRANDE COR PÉROLADA,2,130
ÂNFORA DOURADA FERRO VAZADA,2,130
ÂNFORA GRANDE PEDRARIA COM DOURADO,2,130
ÂNFORA M DOURADA CRISTAL,2,130
ÂNFORAS ALTAS DOURADAS DE PEDRA,2,130
CONJUNTO DOCEIRAS 13 PEÇAS   ( VERDE E MADEIRA FOTO EM ANEXO),1,125
CONJUNTO DOCEIRAS 13 PEÇAS ROSE GOLD ( PROMO 50%),1,125
CONJUNTO DOCEIRAS 14 PEÇAS (FOTO EM ANEXO) 50%,1,125
CONJUNTO DOCEIRAS 18 PÇS ( A ESCOLHER) (50% promo),1,125
CONJUNTO DOCEIRAS MADEIRA E FERRO ( FOTO EM ANEXO),1,125
CONJUNTO DOCEIRAS PEÇAS ( foto e anexo)    (50% DESC),1,125
ÂNFORA DE CRISTAL  G COM PÉ DOURADO,2,120
ÁRVORE PESSEGUEIRA  BRANCA,1,120
CONJUNTO DOCEIRAS 7 PÇS ( FOTO EM AENEXO)50% DESC,1,120
PLAQUINHA MADEIRA COM 4 INDICAÇÕES SEM DIREÇÕES,3,120
PLACA ADESIVADO GG,2,113
CONJUNTO DOCEIRAS 5 PÇS (FOTO EM ANEXO),1,110
CONJUNTO DOCEIRAS MADEIRA E FERRO (PASSARINHOS) 5 PEÇAS,1,110
CONJUNTO DOCEIRAS PÉROLA (FOTO EM ANEXO),1,110
MINI CAVALETE MADEIRA,3,110
ÁRVORE CEREJEIRA ROSA,1,100
"ÁRVORE DE FLORES ROSA 1,85 M ALT COM CACHEPÔ",1,100
CONJUNTO DOCEIRAS 11 PEÇAS   (FOTO EM ANEXO)   50%,1,100
CONJUNTO DOCEIRAS 7 PÇS OURO ROSE,1,100
CONJUNTO DOCEIRAS PRETO  7 PEÇAS,1,100
CONJUNTO DOCEIRAS VERDE MUSGO 7 PEÇAS  (PROMO 50%),1,100
ÂNFORA MÉDIA DOURADA,2,90
CAVALETE MADEIRA MINI,3,90
QUADRO NEGRO PEQUENO  P/ ESCREVER COM GIZ,4,90
CONJUNTO DOCEIRAS DOURADO COM PÉROLAS  10 PEÇAS,1,85
CONJUNTO DOCEIRAS ROSA E AMARELO 8 PEÇAS,1,85
CONJUNTO DOCEIRAS PASSARINHO 6 PÇS,1,80
CONJUNTO DOCEIRAS PRATEADO  (FOTO EM ESTOQUE),1,80
CONJUNTO LANTERNAS MARROM MADEIRA,1,80
ESCADINHA PEQUENA  MADEIRA 3 ANDARES,2,80
CONJUNTO DOCEIRAS 12 PEÇAS PEQUENAS (PROMO 50%),1,75
CONJUNTO DOCEIRAS 4 PÇS ( FOTO EM ANEXO),1,74
"MESA CAVALETE MADEIRA CLARA 1,30X75CM",1,70
"PULPITO MADEIRA 1,10 ALT C / UMA  PRATELEIRA INTERNA",1,70
ÂNFORA GRANDE DOURADA COM CRISTAL TRANSPARENTE,1,65
PEDESTAL DOURADO ALTO  C / CRISTAL,1,65
PLACA MADEIRA GG C / PÉS PEQUENOS BAIXO,1,65
CONJUNTO DOCEIRAS ROSA 4  PEÇAS,1,64
PLAQUINHA 3 ANDARES TIPO ESCADINHA P / ESCREVER COM GIZ,1,60
ÂNFORA PÉROLADA GRANDE,1,50
PLACA LOVE LUMINOSA MADEIRA RÚSTICA,1,50
PLACA MADEIRA C / 4  INDICAÇÕES SEM SETA,1,50
PLACA MADEIRA  4 IDICAÇÕES SEM DIREÇÕES P/ ESCREVER COM GIZ,1,47
MANEQUIM FERRO,1,45
PLAQUINHA COM 4 PRATELEIRA,1,45
APLIQUE DE FOLHAGENS DE CANTO,2,40
DOCEIRA PASSARINHO 2 PEÇAS,2,40
PLACA  MADEIRA COM 4  IDICAÇÕES,1,40
PLACA  MADEIRA INDICATIVA P/ ESCREVER COM GIZ,1,40
PLACA C / 4 DIREÇÕES C / ESCRITOS,1,40
PLACA COM 4  IDICAÇÕES SEM DIREÇÕES,1,40
PLACA COM INDICAÇÕES PARA ESCREVER COM GIZ,1,40
PLACA INDICATIVA 4 DIREÇÕES,1,40
PLACA MADEIRA COM 3 DIREÇÕES  S/ SETAS,1,40
PLAQUINHA 4 DIREÇÕES SEM INDICAÇÕES (p/ escrever),1,40
BOLEIRA DOURADA 32 CM,1,35
CONJUNTO 4 DOCEIRAS PRATEADO,1,35
PRATELEIRA COM ESCORA 3 ANDARES P / GIZ,1,35
VASO DOURADO BAIXO TRABALHADO 20 DIÂMETRO,1,35
DOCEIRA QUADRADA  ESPELHO,1,30
VASO FERRO VAZADO MARROM,1,27
DOCEIRA GRANDE PRATA DE ESPELHO,1,25
BOLO FAKE BRANCO,1,20
MESA MADEIRA PEQUENA,1,15
QUADRINHO PARA GIZ PEQUENO,1,15
ÂNFORA GRANDE PÉROLA   DO CONJUNTO 28cm DE PROFUNDIDADE 16 cm DIÂMETRO,1,0
CAIXINHA DE MADEIRA PARA ESCREVER COM GIZ,1,0
CONJUNTO DOCEIRAS PEÇAS (  FOTO EM AENXO  ),1,0
DOCEIRAS FOTO EM ANEXO,2,0
